iter	Passed	Remaining
401	13255	52693
402	13269	52583
403	13311	52588
404	13359	52614
405	13408	52642
406	13456	52670
407	13507	52704
408	13562	52759
409	13604	52760
410	13657	52802
411	13724	52898
412	13771	52918
413	13812	52915
414	13872	52984
415	13922	53012
416	13976	53055
417	14036	53125
418	14083	53142
419	14132	53164
420	14173	53159
421	14232	53218
422	14273	53211
423	14325	53249
424	14365	53236
425	14413	53254
426	14450	53234
427	14488	53216
428	14527	53200
429	14580	53236
430	14618	53216
431	14652	53184
432	14693	53176
433	14725	53134
434	14774	53152
435	14809	53124
436	14849	53110
437	14890	53103
438	14945	53142
439	14993	53157
440	15032	53143
441	15082	53165
442	15133	53188
443	15173	53174
444	15215	53169
445	15252	53144
446	15300	53157
447	15343	53154
448	15379	53125
449	15417	53103
450	15463	53110
451	15507	53111
452	15552	53112
453	15565	53005
454	15614	53021
455	15667	53048
456	15720	53078
457	15769	53093
458	15785	52997
459	15821	52968
460	15881	53017
461	15947	53090
462	15975	53034
463	16036	53087
464	16086	53102
465	16137	53121
466	16190	53149
467	16239	53159
468	16289	53173
469	16327	53152
470	16355	53095
471	16398	53085
472	16440	53075
473	16481	53061
474	16492	52949
475	16534	52939
476	16586	52959
477	16633	52963
478	16676	52952
479	16723	52958
480	16741	52869
481	16787	52869
482	16830	52859
483	16877	52862
484	16891	52765
485	16935	52759
486	16975	52739
487	17019	52733
488	17064	52727
489	17108	52722
490	17150	52709
491	17192	52694
492	17231	52671
493	17307	52761
494	17338	52714
495	17393	52740
496	17439	52739
497	17495	52766
498	17522	52707
499	17572	52716
500	17612	52697
501	17661	52704
502	17707	52700
503	17755	52702
504	17797	52688
505	17845	52691
506	17884	52665
507	17921	52634
508	17959	52607
509	18002	52594
510	18057	52617
511	18116	52651
512	18160	52639
513	18197	52610
514	18245	52611
515	18302	52637
516	18354	52648
517	18400	52642
518	18452	52654
519	18499	52653
520	18544	52644
521	18599	52662
522	18654	52681
523	18671	52594
524	18742	52656
525	18787	52648
526	18838	52655
527	18906	52708
528	18942	52674
529	18989	52668
530	19046	52692
531	19096	52694
532	19149	52705
533	19201	52714
534	19258	52736
535	19311	52747
536	19366	52761
537	19421	52776
538	19473	52784
539	19514	52762
540	19575	52791
541	19620	52779
542	19671	52783
543	19716	52771
544	19763	52763
545	19806	52745
546	19857	52748
547	19903	52738
548	19950	52729
549	19999	52725
550	20042	52707
551	20089	52698
552	20136	52689
553	20185	52686
554	20248	52718
555	20309	52745
556	20368	52768
557	20425	52784
558	20480	52793
559	20534	52804
560	20588	52811
561	20644	52822
562	20696	52826
563	20737	52798
564	20785	52791
565	20815	52738
566	20867	52739
567	20906	52707
568	20956	52705
569	21010	52709
570	21069	52729
571	21124	52736
572	21185	52761
573	21241	52769
574	21302	52793
575	21338	52753
576	21396	52768
577	21440	52748
578	21491	52744
579	21541	52738
580	21591	52733
581	21625	52688
582	21673	52678
583	21686	52583
584	21724	52547
585	21767	52524
586	21811	52503
587	21850	52471
588	21902	52470
589	21919	52384
590	21960	52355
591	21998	52321
592	22037	52288
593	22086	52279
594	22131	52261
595	22171	52228
596	22219	52218
597	22258	52183
598	22302	52164
599	22341	52129
600	22381	52098
601	22424	52076
602	22447	52004
603	22471	51936
604	22508	51898
605	22516	51796
606	22551	51752
607	22579	51696
608	22622	51672
609	22656	51627
610	22694	51591
611	22735	51564
612	22763	51504
613	22807	51483
614	22842	51443
615	22885	51417
616	22911	51356
617	22947	51315
618	22981	51271
619	23020	51238
620	23056	51198
621	23067	51105
622	23086	51027
623	23122	50988
624	23162	50956
625	23194	50908
626	23235	50879
627	23274	50848
628	23321	50832
629	23335	50744
630	23349	50658
631	23393	50636
632	23440	50620
633	23485	50601
