iter	RMSE
148	0.5053060069
149	0.5053059722
150	0.5036296964
151	0.5036278564
152	0.5028673384
153	0.5027318544
154	0.5010739711
155	0.5010739431
156	0.4994161717
157	0.499416148
158	0.4994161266
159	0.4977094685
160	0.4975121148
161	0.4974944152
162	0.4945138456
163	0.4945138284
164	0.4941055906
165	0.4941045872
166	0.4941045737
167	0.4941034155
168	0.4935473552
169	0.4933637814
170	0.4932396157
171	0.4932396059
172	0.4932387165
173	0.4932379082
174	0.4929304221
175	0.4928220253
176	0.4927324786
177	0.4927324727
178	0.4927199624
179	0.4922268372
180	0.492226313
181	0.4901990268
182	0.4900011225
183	0.4899106481
184	0.4896946578
185	0.4895524277
186	0.4895424934
187	0.4869189648
188	0.4869186658
189	0.4845135433
190	0.4845132518
191	0.4842412504
192	0.4819909415
193	0.479944011
194	0.4797891743
195	0.4797888032
196	0.4794029111
197	0.4791496629
198	0.4791496618
199	0.4791496607
200	0.479076027
201	0.4770618206
202	0.4770320099
203	0.4754142761
204	0.4752744124
205	0.4739092637
206	0.4739092325
207	0.4736893065
208	0.4725006868
209	0.4721826151
210	0.4721825958
211	0.472003998
212	0.4720039533
213	0.4719147301
214	0.4716565199
215	0.4712246563
216	0.4712246552
217	0.471199595
218	0.4711103453
219	0.4708554257
220	0.4708554189
221	0.4707491992
222	0.4707491986
223	0.4707491931
224	0.4699772095
225	0.4698174028
226	0.4697022131
227	0.4696962442
228	0.4691823221
229	0.4690801273
230	0.4689047001
231	0.4685604538
232	0.4685471538
233	0.4684877874
234	0.4683006549
235	0.4680609485
236	0.4680609477
237	0.4680608498
238	0.4671208106
239	0.4671043366
240	0.4663783848
241	0.4647571471
242	0.4645513651
243	0.4644494478
244	0.4644494472
245	0.4644494466
246	0.4644494461
247	0.4640313634
248	0.4640313616
249	0.4639383436
250	0.4639382792
251	0.4635864052
252	0.4635863392
253	0.4635813534
254	0.4635803586
255	0.4635351286
256	0.4633718007
257	0.4631627702
258	0.4631627679
259	0.4631623118
260	0.4615860122
261	0.461525291
262	0.4614138787
263	0.4614138237
264	0.4613503971
265	0.4613163415
266	0.4611490589
267	0.4609515932
268	0.4609514408
269	0.4608778366
270	0.4607988659
271	0.4594943227
272	0.4593651698
273	0.4593493311
274	0.4582279994
275	0.4582190806
276	0.4582113847
277	0.455865867
278	0.4556854496
279	0.4554267595
280	0.4543976555
281	0.4543325415
282	0.4540214068
283	0.4538574206
284	0.4537743237
285	0.4528282612
286	0.4526383859
287	0.4526383754
288	0.4525833824
289	0.4524052051
290	0.451869586
291	0.4507151784
292	0.450623778
293	0.4506237663
294	0.4506237556
295	0.4496005515
296	0.4495739052
297	0.4494821977
298	0.4492833135
299	0.4471853345
300	0.4471853339
301	0.4471157259
302	0.4470206736
303	0.446879243
304	0.4466226108
305	0.4465318809
306	0.446531876
307	0.4463848486
308	0.4463252612
309	0.4463252582
310	0.4463216766
311	0.4462471394
312	0.446247137
313	0.445313532
314	0.4452412687
315	0.4442404289
316	0.4442260535
317	0.4442259494
318	0.4442257532
319	0.4432873279
320	0.4431950525
321	0.443195049
322	0.442938258
323	0.4429276329
324	0.4421275007
325	0.4409318217
326	0.4409233024
327	0.440903511
328	0.4408922774
329	0.4399820787
330	0.4399794514
331	0.4399586198
332	0.4399549393
333	0.4390956227
334	0.4385599271
335	0.4385563119
336	0.4384883365
337	0.4375999655
338	0.4375893863
339	0.4373366417
340	0.4373362147
341	0.4373362064
342	0.4371681288
343	0.4371579502
344	0.4371542657
345	0.4371165485
346	0.4370632177
347	0.4370047655
348	0.4364076647
349	0.4364076519
350	0.4362084166
351	0.4361800378
352	0.4361800321
353	0.4358085143
354	0.435808406
355	0.4358083024
356	0.4358071481
357	0.435744531
358	0.4356150093
359	0.4355975503
360	0.4355505196
361	0.4355446861
362	0.4355445862
363	0.4354774558
364	0.4354232859
365	0.4351608991
366	0.4351571104
367	0.4349047529
368	0.4348361172
369	0.4347811525
370	0.4347775414
371	0.4347775336
372	0.4346834244
373	0.4346281957
374	0.4345892197
375	0.4345891969
376	0.434585598
377	0.4345855923
378	0.4345484762
379	0.4345381491
380	0.4338816393
381	0.4338816392
382	0.4338177052
383	0.4337921083
384	0.433790382
385	0.4337903529
386	0.4337437433
387	0.4337142442
388	0.433714241
389	0.4336406437
390	0.4336406408
391	0.4336060033
392	0.4313802454
393	0.4313652627
394	0.4312724917
395	0.4303845091
396	0.4303845052
397	0.4303334353
398	0.4291756463
399	0.429175642
400	0.4279008769
401	0.4278563631
402	0.4278563623
403	0.4276058889
404	0.4275792543
405	0.4273865167
406	0.427382401
407	0.4273763696
408	0.4273654076
409	0.4264996979
410	0.4263452418
411	0.4260462616
412	0.426011768
413	0.4259965265
414	0.4240258153
415	0.4232782088
416	0.4230835431
417	0.4213747757
418	0.4212265275
419	0.4205369888
420	0.4203272268
421	0.4192393519
422	0.4192264157
423	0.4182447036
424	0.4182143215
425	0.4180717107
426	0.4179443852
427	0.4178665007
428	0.4178576892
429	0.4177697367
430	0.4177146588
431	0.417491023
432	0.4173918194
433	0.4173454016
434	0.4173283961
435	0.4173242658
436	0.4170018377
437	0.4169990931
438	0.416991258
439	0.4169189569
440	0.4167246589
441	0.416654347
442	0.4163580253
443	0.4163522838
444	0.4160615417
445	0.4160535786
446	0.4159821706
447	0.4157000653
448	0.4156924208
449	0.4156797621
450	0.4155673938
451	0.4155262273
452	0.4155191262
453	0.4155191261
454	0.4155093409
455	0.4154605564
456	0.4153876573
457	0.4153811233
458	0.4153811233
459	0.4153768239
460	0.4153209325
461	0.4153091412
462	0.4153083797
463	0.415243191
464	0.4152033299
465	0.4147048226
466	0.4146987919
467	0.4145312514
468	0.4140806324
469	0.4140386699
470	0.4140329579
471	0.4140191576
472	0.4139632676
473	0.4135779116
474	0.4135770864
475	0.4133424746
476	0.4130930191
477	0.4126095611
478	0.4126040221
479	0.4123222397
480	0.4123202063
481	0.4115366983
482	0.4115149626
483	0.4114367514
484	0.4114348212
485	0.4112591704
486	0.4109861026
487	0.4109052369
488	0.4108354158
489	0.4107268355
490	0.4106927296
491	0.4106347927
492	0.4106134036
493	0.4092162789
494	0.4092162753
495	0.4091919547
496	0.4091774159
497	0.4080226576
498	0.4080226486
499	0.4080160187
500	0.4079982056
501	0.4079588225
502	0.4078361567
503	0.4077409021
504	0.4076746798
505	0.4076597203
506	0.4076043123
507	0.4075799747
508	0.4075785386
509	0.4074697171
510	0.4069841621
511	0.406147975
512	0.4060623004
513	0.4060320892
514	0.4060293895
515	0.4060233387
516	0.4058541059
517	0.4058201723
518	0.4058128466
519	0.4057907637
520	0.4057859761
521	0.4057506823
522	0.4056790562
523	0.4056788859
524	0.4038403612
525	0.4038318388
526	0.4038030594
527	0.4031814078
528	0.4031612552
529	0.4029632649
530	0.4021802843
531	0.4021678189
532	0.4018083017
533	0.40175231
534	0.4005182538
535	0.4004400048
536	0.4003047139
537	0.4003023537
538	0.3993492597
539	0.3993405843
540	0.3992705416
541	0.3992634723
542	0.3987805678
543	0.3987666147
544	0.3985611159
545	0.3985412455
546	0.39850527
547	0.3984363872
548	0.3984305947
549	0.3983849645
550	0.3983643783
551	0.3982884926
552	0.3982869923
553	0.3982416722
554	0.397854795
555	0.3978515352
556	0.3978230846
557	0.3978219918
558	0.3977735755
559	0.397078127
560	0.3970726147
561	0.3969639757
562	0.3963949951
563	0.3963407026
564	0.3953693754
565	0.3953686072
566	0.3953528167
567	0.3951216797
568	0.3951065975
569	0.3948034206
570	0.3942979179
571	0.3942812765
572	0.394276038
573	0.3942086083
574	0.3942074507
575	0.3942024409
576	0.3941345326
577	0.3940944157
578	0.3940864331
579	0.3935847093
580	0.3933030825
581	0.3932990348
582	0.3932606782
583	0.3932606566
584	0.3932569204
585	0.3932416858
586	0.3932369021
587	0.3932165361
588	0.3932114297
589	0.3932100828
590	0.3932051971
591	0.3931810731
592	0.3931345922
593	0.3931048322
594	0.3931009641
595	0.3929110888
596	0.39287929
597	0.3928757706
598	0.3921015094
599	0.3920942751
600	0.3917887173
601	0.3917794901
602	0.3917750996
603	0.3917730551
604	0.3917705014
605	0.3917705009
606	0.3917695529
607	0.3917688587
608	0.3917666248
609	0.3917640616
610	0.3917633145
611	0.3913520248
612	0.3913516084
613	0.3908572376
614	0.3904546444
615	0.3904517402
616	0.3904513417
617	0.3903409743
618	0.3903361866
619	0.3903151639
620	0.3903148108
621	0.3903148105
622	0.3903144523
623	0.3903014048
624	0.3902291056
625	0.3902186676
626	0.3902183887
627	0.3902181024
628	0.3894186126
629	0.3894186122
630	0.3894186118
631	0.3891992762
632	0.3881970353
633	0.3863259384
